"panel_code","panel_name","panelist_name","affiliation","chair","panel_category","year"
"202","Fyzika","Doc. RNDr. Milada Bartlová"," Vysoké učení technické v Brně - Fakulta elektrotechniky a komunikačních technologií","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Ing. Petr Boháč"," Fyzikální ústav AV ČR","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Ing. Jaroslav Cvach"," Fyzikální ústav AV ČR","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Prof. RNDr. Miloslav Dušek"," Univerzita Palackého v Olomouci - Přírodovědecká fakulta","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Prof. RNDr. Jiří Englich"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","RNDr. Stanislav Kamba"," Fyzikální ústav AV ČR","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","RNDr. Jiří Mareš"," Ústav jaderné fyziky AV ČR","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","RNDr. Pavol Mikula"," Ústav jaderné fyziky AV ČR","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Doc. RNDr. Jan Nedbal"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Ing. Pavel Novák"," Fyzikální ústav AV ČR","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Prof. Ing. Stanislav Pekárek"," České vysoké učení technické v Praze - Fakulta elektrotechnická","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","RNDr. Karel Rohlena"," Fyzikální ústav AV ČR","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Prof. RNDr. Vladimír Sechovský"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Ing. Libor Šnobl"," České vysoké učení technické v Praze - Fakulta jaderná a fyzikálně inženýrská","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Prof. RNDr. Mojmír Šob"," Masarykova univerzita - Přírodovědecká fakulta","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Prof. RNDr. Milan Tichý"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Doc. RNDr. David Trunec"," Masarykova univerzita - Přírodovědecká fakulta","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","RNDr. Alice Valkárová"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","RNDr. Vladimír Wagner"," Ústav jaderné fyziky AV ČR","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"202","Fyzika","Doc. RNDr. Pavel Zemánek"," Ústav přístrojové techniky AV ČR","RNDr. Alice Valkárová, DrSc. - předsedkyně","sub-branch","2008"
"203","Chemie","Ing. Jana Bludská"," Ústav anorganické chemie AV ČR","Prof. RNDr. Milan Potáček, CSc. - předseda","sub-branch","2008"
"203","Chemie","Doc. Ing. Vladimír Dohnal"," Vysoká škola chemicko-technologická v Praze - Fakulta chemické technologie","Prof. RNDr. Milan Potáček, CSc. - předseda","sub-branch","2008"
"203","Chemie","Prof. Ing. Pavel Jandera"," Univerzita Pardubice - Fakulta chemicko-technologická","Prof. RNDr. Milan Potáček, CSc. - předseda","sub-branch","2008"
"203","Chemie","Doc. Ing. Stanislav Kafka"," Univerzita Tomáše Bati ve Zlíně - Fakulta technologická","Prof. RNDr. Milan Potáček, CSc. - předseda","sub-branch","2008"
"203","Chemie","Prof. RNDr. Karel Lemr"," Univerzita Palackého v Olomouci - Přírodovědecká fakulta","Prof. RNDr. Milan Potáček, CSc. - předseda","sub-branch","2008"
"203","Chemie","Prof. Ing. Pavel Lhoták"," Vysoká škola chemicko-technologická v Praze - Fakulta chemické technologie","Prof. RNDr. Milan Potáček, CSc. - předseda","sub-branch","2008"
"203","Chemie","Prof. Ing. Vladimír Mareček"," Ústav fyzikální chemie J. Heyrovského AV ČR","Prof. RNDr. Milan Potáček, CSc. - předseda","sub-branch","2008"
"203","Chemie","Doc. Ing. Ivan Mikšík"," Fyziologický ústav AV ČR","Prof. RNDr. Milan Potáček, CSc. - předseda","sub-branch","2008"
"203","Chemie","Doc. RNDr. Josef Novosad"," Masarykova univerzita - Přírodovědecká fakulta","Prof. RNDr. Milan Potáček, CSc. - předseda","sub-branch","2008"
"203","Chemie","Doc. RNDr. Tomáš Obšil"," Univerzita Karlova v Praze - Přírodovědecká fakulta","Prof. RNDr. Milan Potáček, CSc. - předseda","sub-branch","2008"
"203","Chemie","Prof. RNDr. Věra Pacáková"," Univerzita Karlova v Praze - Přírodovědecká fakulta","Prof. RNDr. Milan Potáček, CSc. - předseda","sub-branch","2008"
"203","Chemie","Ing. Michal Pechar"," Ústav makromolekulární chemie AV ČR","Prof. RNDr. Milan Potáček, CSc. - předseda","sub-branch","2008"
