"panel_name","panel_code","first_name","second_name","titles","affiliation","year","url"
"Matematika a informatika",201,"Luboš","Pick","Doc. RNDr.","Univerzita Karlova v Praze - Matematicko-fyzikální fakulta",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Jiří","Sgall","Doc. RNDr.","Matematický ústav AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Jan","Slovák","Prof. RNDr.","Masarykova univerzita - Přírodovědecká fakulta",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Vladimír","Souček","Prof. RNDr.","Univerzita Karlova v Praze - Matematicko-fyzikální fakulta",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Petr","Tůma","Doc. Ing.","Univerzita Karlova v Praze - Matematicko-fyzikální fakulta",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Peter","Vojtáš","Prof. RNDr.","Univerzita Karlova v Praze - Matematicko-fyzikální fakulta",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Matematika a informatika",201,"Jiří","Voříšek","Prof. Ing.","Vysoká škola ekonomická v Praze - Fakulta informatiky a statistiky",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Fyzika",202,"Milada","Bartlová","Doc. RNDr.","Vysoké učení technické v Brně - Fakulta elektrotechniky a komunikačních technologií",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Fyzika",202,"Petr","Boháč","Ing.","Fyzikální ústav AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Fyzika",202,"Jaroslav","Cvach","Ing.","Fyzikální ústav AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
